Price,Close,High,Low,Open,Volume
Ticker,^TNX,^TNX,^TNX,^TNX,^TNX
Date,,,,,
2025-12-09,4.185999870300293,4.190000057220459,4.14300012588501,4.1620001792907715,0
2025-12-10,4.164000034332275,4.203999996185303,4.146999835968018,4.202000141143799,0
2025-12-11,4.140999794006348,4.14300012588501,4.1020002365112305,4.13100004196167,0
2025-12-12,4.193999767303467,4.199999809265137,4.177999973297119,4.177999973297119,0
2025-12-15,4.182000160217285,4.185999870300293,4.151000022888184,4.170000076293945,0
2025-12-16,4.14900016784668,4.196000099182129,4.14300012588501,4.170000076293945,0
2025-12-17,4.151000022888184,4.170000076293945,4.14300012588501,4.163000106811523,0
2025-12-18,4.116000175476074,4.13700008392334,4.107999801635742,4.125,0
2025-12-19,4.151000022888184,4.1570000648498535,4.130000114440918,4.146999835968018,0
2025-12-22,4.169000148773193,4.175000190734863,4.15500020980835,4.166999816894531,0
2025-12-23,4.169000148773193,4.202000141143799,4.151000022888184,4.151000022888184,0
2025-12-24,4.136000156402588,4.166999816894531,4.131999969482422,4.166999816894531,0
2025-12-26,4.136000156402588,4.144999980926514,4.110000133514404,4.122000217437744,0
2025-12-29,4.116000175476074,4.130000114440918,4.107999801635742,4.116000175476074,0
2025-12-30,4.130000114440918,4.140999794006348,4.116000175476074,4.140999794006348,0
2025-12-31,4.163000106811523,4.172999858856201,4.125999927520752,4.125999927520752,0
2026-01-02,4.186999797821045,4.197000026702881,4.158999919891357,4.160999774932861,0
2026-01-05,4.164999961853027,4.190999984741211,4.1529998779296875,4.183000087738037,0
2026-01-06,4.178999900817871,4.197000026702881,4.164999961853027,4.172999858856201,0
2026-01-07,4.138000011444092,4.160999774932861,4.124000072479248,4.131999969482422,0
